age,education,housing,loan,duration,empratevar,consconfid,y
58,1,0,0,849,1.1,-36.4,0
35,2,1,0,194,1.1,-36.4,0
55,1,1,0,212,1.1,-36.4,0
37,4,0,0,337,1.1,-36.4,0
36,2,0,0,286,1.1,-36.4,0
52,4,0,0,247,1.1,-36.4,0
57,0,1,0,518,1.1,-36.4,0
56,0,1,0,364,1.1,-36.4,0
48,1,1,0,178,1.1,-36.4,0
40,2,1,0,98,1.1,-36.4,0
49,2,0,0,439,1.1,-36.4,0
41,2,0,0,139,1.1,-36.4,0
45,2,1,0,79,1.1,-36.4,0
32,4,1,1,175,1.1,-36.4,0
42,4,0,1,262,1.1,-36.4,0
50,1,0,0,61,1.1,-36.4,0
31,3,1,1,78,1.1,-36.4,0
56,1,1,0,102,1.1,-36.4,0
41,3,1,0,579,1.1,-36.4,1
37,1,1,1,143,1.1,-36.4,0
41,3,0,0,677,1.1,-36.4,0
35,0,1,0,267,1.1,-36.4,0
37,1,1,0,345,1.1,-36.4,0
52,4,0,0,185,1.1,-36.4,0
39,4,0,0,207,1.1,-36.4,0
39,1,0,0,69,1.1,-36.4,0
56,1,0,0,100,1.1,-36.4,0
34,2,1,0,125,1.1,-36.4,0
45,1,1,0,461,1.1,-36.4,1
43,4,1,0,240,1.1,-36.4,0
56,0,1,0,70,1.1,-36.4,0
39,4,1,0,193,1.1,-36.4,0
53,1,1,0,136,1.1,-36.4,0
38,2,1,0,73,1.1,-36.4,0
42,1,1,0,528,1.1,-36.4,0
42,1,0,0,541,1.1,-36.4,0
35,2,1,0,338,1.1,-36.4,0
40,4,1,0,163,1.1,-36.4,0
51,1,1,0,87,1.1,-36.4,0
60,1,0,0,301,1.1,-36.4,0
56,0,1,0,46,1.1,-36.4,0
39,2,1,0,52,1.1,-36.4,0
56,0,0,0,204,1.1,-36.4,0
40,0,1,1,155,1.1,-36.4,0
36,1,1,1,98,1.1,-36.4,0
51,0,1,0,71,1.1,-36.4,0
51,0,0,0,243,1.1,-36.4,0
43,3,1,0,186,1.1,-36.4,0
59,2,0,0,579,1.1,-36.4,0
24,4,1,0,165,1.1,-36.4,0
37,1,1,1,163,1.1,-36.4,0
40,1,0,0,46,1.1,-36.4,0
42,1,0,0,559,1.1,-36.4,0
39,2,0,0,2033,1.1,-36.4,0
37,1,0,0,85,1.1,-36.4,0
38,2,1,1,506,1.1,-36.4,0
56,0,0,0,114,1.1,-36.4,0
40,0,0,0,114,1.1,-36.4,0
54,4,1,0,843,1.1,-36.4,0
43,2,0,1,181,1.1,-36.4,0
36,2,0,0,427,1.1,-36.4,0
45,4,1,1,292,1.1,-36.4,0
42,4,0,0,192,1.1,-36.4,0
43,2,0,0,93,1.1,-36.4,0
46,1,0,0,128,1.1,-36.4,0
44,2,1,1,107,1.1,-36.4,0
51,1,0,0,303,1.1,-36.4,0
28,2,1,0,81,1.1,-36.4,0
37,1,0,0,270,1.1,-36.4,0
34,2,0,0,228,1.1,-36.4,0
46,1,1,0,240,1.1,-36.4,0
42,1,1,1,673,1.1,-36.4,1
36,4,1,0,233,1.1,-36.4,0
54,1,0,0,102,1.1,-36.4,0
57,4,0,0,461,1.1,-36.4,0
51,1,0,0,250,1.1,-36.4,0
54,2,0,0,130,1.1,-36.4,0
49,1,0,0,252,1.1,-36.4,0
34,4,1,0,138,1.1,-36.4,0
41,3,0,0,412,1.1,-36.4,0
38,1,1,0,179,1.1,-36.4,0
45,4,0,0,19,1.1,-36.4,0
42,4,0,0,228,1.1,-36.4,0
34,1,1,0,55,1.1,-36.4,0
48,1,1,0,717,1.1,-36.4,0
37,2,1,0,313,1.1,-36.4,0
34,1,0,0,289,1.1,-36.4,0
40,1,1,0,683,1.1,-36.4,0
43,1,1,0,1077,1.1,-36.4,0
33,2,0,0,146,1.1,-36.4,0
32,1,0,0,167,1.1,-36.4,0
39,2,1,0,356,1.1,-36.4,0
43,0,0,0,277,1.1,-36.4,0
44,1,1,0,172,1.1,-36.4,0
35,4,0,0,218,1.1,-36.4,0
35,4,1,1,217,1.1,-36.4,0
35,3,0,0,67,1.1,-36.4,0
36,1,0,0,291,1.1,-36.4,0
35,4,1,0,248,1.1,-36.4,0
36,1,1,0,256,1.1,-36.4,0
55,4,0,0,286,1.1,-36.4,0
59,4,0,0,477,1.1,-36.4,0
57,0,0,0,611,1.1,-36.4,0
39,3,1,0,471,1.1,-36.4,0
39,1,1,0,381,1.1,-36.4,0
30,0,1,0,251,1.1,-36.4,0
30,0,1,1,408,1.1,-36.4,0
50,1,0,0,287,1.1,-36.4,0
40,2,0,0,322,1.1,-36.4,0
35,2,1,0,216,1.1,-36.4,0
43,0,0,0,366,1.1,-36.4,0
36,1,1,0,210,1.1,-36.4,0
46,1,1,0,288,1.1,-36.4,0
40,1,0,0,168,1.1,-36.4,0
58,4,0,0,132,1.1,-36.4,0
42,4,0,0,64,1.1,-36.4,0
35,4,0,0,209,1.1,-36.4,0
43,1,0,0,410,1.1,-36.4,0
45,1,1,1,177,1.1,-36.4,0
39,3,1,0,580,1.1,-36.4,0
50,3,1,0,165,1.1,-36.4,0
32,1,1,0,127,1.1,-36.4,0
39,2,0,0,357,1.1,-36.4,0
52,4,0,0,175,1.1,-36.4,0
44,3,1,0,300,1.1,-36.4,0
56,1,0,0,136,1.1,-36.4,0
48,2,0,0,125,1.1,-36.4,0
33,2,0,1,189,1.1,-36.4,0
43,4,0,1,213,1.1,-36.4,0
57,2,0,0,238,1.1,-36.4,0
36,3,0,0,124,1.1,-36.4,0
34,4,1,0,18,1.1,-36.4,0
34,1,0,0,730,1.1,-36.4,0
30,4,0,0,40,1.1,-36.4,0
33,0,0,0,181,1.1,-36.4,0
32,3,0,0,79,1.1,-36.4,0
36,2,1,0,142,1.1,-36.4,0
36,2,0,1,389,1.1,-36.4,0
33,2,0,0,702,1.1,-36.4,0
40,3,0,0,151,1.1,-36.4,0
41,1,1,0,211,1.1,-36.4,0
51,1,1,0,117,1.1,-36.4,0
36,3,1,0,232,1.1,-36.4,0
28,0,0,0,408,1.1,-36.4,0
53,2,1,1,370,1.1,-36.4,0
58,1,1,0,179,1.1,-36.4,0
45,1,0,1,46,1.1,-36.4,0
43,0,1,0,200,1.1,-36.4,0
33,2,0,1,50,1.1,-36.4,0
33,2,0,1,181,1.1,-36.4,0
27,1,0,0,119,1.1,-36.4,0
42,2,0,0,361,1.1,-36.4,0
43,1,0,0,73,1.1,-36.4,0
42,4,0,0,67,1.1,-36.4,0
27,1,0,0,350,1.1,-36.4,0
34,4,1,0,150,1.1,-36.4,0
31,4,0,0,332,1.1,-36.4,0
54,4,0,0,611,1.1,-36.4,0
40,1,0,0,58,1.1,-36.4,0
52,2,1,0,151,1.1,-36.4,0
47,4,0,0,89,1.1,-36.4,0
49,1,0,0,152,1.1,-36.4,0
32,2,0,0,611,1.1,-36.4,0
49,2,1,1,110,1.1,-36.4,0
50,1,0,0,463,1.1,-36.4,0
34,2,0,0,962,1.1,-36.4,0
55,1,0,0,102,1.1,-36.4,0
47,1,0,0,10,1.1,-36.4,0
51,3,0,0,118,1.1,-36.4,0
47,1,0,0,92,1.1,-36.4,0
56,1,1,0,143,1.1,-36.4,0
53,1,0,0,189,1.1,-36.4,0
36,1,1,0,75,1.1,-36.4,0
42,1,1,0,189,1.1,-36.4,0
44,1,0,0,55,1.1,-36.4,0
39,1,1,0,935,1.1,-36.4,1
37,2,1,1,56,1.1,-36.4,0
60,0,1,0,5,1.1,-36.4,0
36,2,0,0,225,1.1,-36.4,0
42,4,1,0,125,1.1,-36.4,0
31,2,1,1,286,1.1,-36.4,0
53,3,0,1,206,1.1,-36.4,0
45,1,1,0,164,1.1,-36.4,0
37,3,1,0,98,1.1,-36.4,0
47,3,0,0,446,1.1,-36.4,0
49,2,0,1,742,1.1,-36.4,0
36,4,1,0,120,1.1,-36.4,0
35,2,0,0,122,1.1,-36.4,0
38,0,0,0,362,1.1,-36.4,0
38,2,0,0,357,1.1,-36.4,0
50,2,0,1,200,1.1,-36.4,0
59,3,0,0,107,1.1,-36.4,0
43,0,1,0,267,1.1,-36.4,0
42,2,1,0,248,1.1,-36.4,0
40,1,1,0,215,1.1,-36.4,0
46,0,0,0,209,1.1,-36.4,0
57,1,1,1,205,1.1,-36.4,0
42,4,1,0,261,1.1,-36.4,0
41,1,1,0,83,1.1,-36.4,0
54,4,1,0,106,1.1,-36.4,0
27,4,0,0,106,1.1,-36.4,0
36,2,0,0,108,1.1,-36.4,0
58,3,1,0,214,1.1,-36.4,0
40,4,1,0,358,1.1,-36.4,0
34,1,0,0,453,1.1,-36.4,0
33,2,0,0,364,1.1,-36.4,0
56,1,0,0,136,1.1,-36.4,0
42,1,0,0,173,1.1,-36.4,0
43,2,1,0,241,1.1,-36.4,0
54,1,1,0,224,1.1,-36.4,0
53,1,1,1,148,1.1,-36.4,0
42,0,0,0,230,1.1,-36.4,0
40,1,0,0,199,1.1,-36.4,0
54,3,1,1,196,1.1,-36.4,0
40,3,0,0,111,1.1,-36.4,0
26,4,1,0,231,1.1,-36.4,0
33,2,0,0,316,1.1,-36.4,0
35,1,0,0,240,1.1,-36.4,0
36,2,0,0,669,1.1,-36.4,0
29,2,1,0,425,1.1,-36.4,0
36,1,1,0,121,1.1,-36.4,0
35,2,1,0,174,1.1,-36.4,0
50,4,0,1,88,1.1,-36.4,0
46,2,1,0,313,1.1,-36.4,0
49,2,1,0,135,1.1,-36.4,0
42,3,1,0,152,1.1,-36.4,0
36,2,1,1,402,1.1,-36.4,0
55,1,1,0,221,1.1,-36.4,0
41,4,0,0,213,1.1,-36.4,0
57,3,1,0,144,1.1,-36.4,0
32,2,1,0,158,1.1,-36.4,0
49,1,0,0,220,1.1,-36.4,0
57,0,1,0,325,1.1,-36.4,0
58,1,1,0,254,1.1,-36.4,0
52,2,1,0,503,1.1,-36.4,0
50,3,0,0,680,1.1,-36.4,0
41,1,1,0,421,1.1,-36.4,0
33,4,1,0,130,1.1,-36.4,0
57,1,0,0,164,1.1,-36.4,0
48,1,0,0,174,1.1,-36.4,0
55,3,0,0,113,1.1,-36.4,0
38,4,0,0,195,1.1,-36.4,0
38,2,1,0,347,1.1,-36.4,0
53,4,1,0,208,1.1,-36.4,0
43,4,0,0,404,1.1,-36.4,0
36,2,0,0,396,1.1,-36.4,0
32,1,0,0,98,1.1,-36.4,0
33,1,0,0,229,1.1,-36.4,0
58,1,1,0,350,1.1,-36.4,0
40,2,0,0,88,1.1,-36.4,0
57,4,1,0,379,1.1,-36.4,0
45,2,1,0,168,1.1,-36.4,0
42,1,1,0,190,1.1,-36.4,0
46,4,1,0,158,1.1,-36.4,0
36,4,0,0,210,1.1,-36.4,0
41,2,1,0,102,1.1,-36.4,0
57,1,0,0,306,1.1,-36.4,0
49,1,1,0,64,1.1,-36.4,0
56,2,0,0,218,1.1,-36.4,0
37,1,0,0,77,1.1,-36.4,0
37,1,0,1,54,1.1,-36.4,0
46,2,1,0,344,1.1,-36.4,0
22,1,1,0,195,1.1,-36.4,0
43,2,0,0,202,1.1,-36.4,0
49,0,0,0,286,1.1,-36.4,0
41,1,1,0,278,1.1,-36.4,0
38,4,0,0,189,1.1,-36.4,0
33,1,0,0,83,1.1,-36.4,0
49,4,1,1,18,1.1,-36.4,0
30,0,0,0,184,1.1,-36.4,0
33,1,1,0,235,1.1,-36.4,0
34,4,0,0,290,1.1,-36.4,0
30,0,0,0,133,1.1,-36.4,0
59,1,1,1,318,1.1,-36.4,0
59,1,0,0,437,1.1,-36.4,0
41,4,0,0,402,1.1,-36.4,0
48,1,1,1,501,1.1,-36.4,0
28,0,1,1,1201,1.1,-36.4,1
44,2,1,0,1030,1.1,-36.4,1
59,4,0,0,253,1.1,-36.4,0
50,2,0,0,149,1.1,-36.4,0
35,4,0,0,144,1.1,-36.4,0
42,2,0,0,69,1.1,-36.4,0
45,1,0,0,243,1.1,-36.4,0
36,3,0,0,769,1.1,-36.4,0
56,2,0,0,135,1.1,-36.4,0
29,1,0,0,231,1.1,-36.4,0
41,4,1,1,442,1.1,-36.4,0
42,1,0,0,199,1.1,-36.4,0
52,2,0,0,455,1.1,-36.4,0
48,2,0,0,152,1.1,-36.4,0
31,2,1,0,124,1.1,-36.4,0
43,4,1,0,424,1.1,-36.4,0
36,1,0,0,43,1.1,-36.4,0
42,4,1,0,154,1.1,-36.4,0
52,1,0,0,393,1.1,-36.4,0
39,2,1,0,203,1.1,-36.4,0
36,2,0,1,140,1.1,-36.4,0
42,1,1,0,326,1.1,-36.4,0
41,2,0,0,483,1.1,-36.4,0
55,1,0,1,259,1.1,-36.4,0
30,1,0,0,227,1.1,-36.4,0
57,1,0,0,673,1.1,-36.4,0
45,1,1,0,576,1.1,-36.4,0
51,1,1,1,180,1.1,-36.4,0
39,1,1,1,90,1.1,-36.4,0
47,2,0,0,505,1.1,-36.4,0
27,2,1,0,245,1.1,-36.4,0
34,4,1,0,186,1.1,-36.4,0
57,1,1,0,208,1.1,-36.4,0
43,1,0,0,623,1.1,-36.4,0
49,1,0,0,180,1.1,-36.4,0
39,4,0,0,496,1.1,-36.4,0
38,1,1,0,118,1.1,-36.4,0
49,1,0,0,102,1.1,-36.4,0
58,1,0,0,342,1.1,-36.4,0
43,3,1,0,225,1.1,-36.4,0
50,0,1,0,185,1.1,-36.4,0
31,2,0,0,276,1.1,-36.4,0
43,4,0,0,87,1.1,-36.4,0
43,1,0,0,744,1.1,-36.4,0
30,4,1,0,262,1.1,-36.4,0
27,3,1,1,271,1.1,-36.4,0
51,0,0,0,141,1.1,-36.4,0
37,3,1,0,198,1.1,-36.4,0
46,1,1,0,150,1.1,-36.4,0
35,3,0,0,241,1.1,-36.4,0
47,4,0,0,196,1.1,-36.4,0
46,0,1,0,149,1.1,-36.4,0
40,3,0,1,264,1.1,-36.4,0
26,4,0,0,246,1.1,-36.4,0
32,1,0,0,309,1.1,-36.4,0
45,4,1,0,140,1.1,-36.4,0
34,1,0,0,175,1.1,-36.4,0
47,0,0,0,136,1.1,-36.4,0
42,3,0,0,1623,1.1,-36.4,1
57,1,0,1,50,1.1,-36.4,0
57,1,0,0,101,1.1,-36.4,0
38,1,0,1,144,1.1,-36.4,0
57,1,0,0,238,1.1,-36.4,0
28,1,1,0,354,1.1,-36.4,0
60,4,0,0,451,1.1,-36.4,0
48,4,1,0,159,1.1,-36.4,0
47,3,1,0,170,1.1,-36.4,0
40,2,0,0,243,1.1,-36.4,0
51,3,1,0,141,1.1,-36.4,0
48,1,1,0,112,1.1,-36.4,0
54,1,0,0,262,1.1,-36.4,0
40,1,0,1,53,1.1,-36.4,0
44,1,0,0,134,1.1,-36.4,0
42,2,0,0,204,1.1,-36.4,0
52,4,1,0,678,1.1,-36.4,0
31,1,1,0,182,1.1,-36.4,0
32,2,0,0,162,1.1,-36.4,0
44,2,1,1,177,1.1,-36.4,0
39,1,0,0,27,1.1,-36.4,0
57,3,1,0,699,1.1,-36.4,0
52,1,1,0,358,1.1,-36.4,0
42,4,0,0,1677,1.1,-36.4,1
42,3,0,0,529,1.1,-36.4,0
43,3,1,0,310,1.1,-36.4,0
31,2,0,0,47,1.1,-36.4,0
29,4,1,0,379,1.1,-36.4,0
57,1,0,0,30,1.1,-36.4,0
44,1,0,0,472,1.1,-36.4,0
59,0,0,0,113,1.1,-36.4,0
39,1,0,0,114,1.1,-36.4,0
57,4,0,0,116,1.1,-36.4,0
41,0,0,0,448,1.1,-36.4,0
37,2,0,1,264,1.1,-36.4,0
38,2,1,0,169,1.1,-36.4,0
42,1,0,0,145,1.1,-36.4,0
49,0,1,0,288,1.1,-36.4,0
54,1,1,1,381,1.1,-36.4,0
36,4,0,0,176,1.1,-36.4,0
32,4,0,0,215,1.1,-36.4,0
35,3,1,0,278,1.1,-36.4,0
45,3,0,0,188,1.1,-36.4,0
56,0,1,0,174,1.1,-36.4,0
34,4,1,0,226,1.1,-36.4,0
41,1,0,0,111,1.1,-36.4,0
41,1,0,0,157,1.1,-36.4,0
36,1,0,0,46,1.1,-36.4,0
32,4,0,0,49,1.1,-36.4,0
31,2,0,0,374,1.1,-36.4,0
38,3,1,0,349,1.1,-36.4,0
35,4,1,0,325,1.1,-36.4,0
53,3,1,0,233,1.1,-36.4,0
51,1,1,0,531,1.1,-36.4,0
56,4,0,0,153,1.1,-36.4,0
33,1,0,0,80,1.1,-36.4,0
33,1,0,0,198,1.1,-36.4,0
51,2,1,0,568,1.1,-36.4,0
39,2,1,0,918,1.1,-36.4,1
45,4,0,0,82,1.1,-36.4,0
40,4,0,0,198,1.1,-36.4,0
60,0,1,0,211,1.1,-36.4,0
33,4,1,0,120,1.1,-36.4,0
47,2,1,0,269,1.1,-36.4,0
48,1,0,0,128,1.1,-36.4,0
43,2,0,0,166,1.1,-36.4,0
37,4,1,0,211,1.1,-36.4,0
50,1,1,1,369,1.1,-36.4,0
59,2,1,0,91,1.1,-36.4,0
32,0,1,0,267,1.1,-36.4,0
42,1,1,0,198,1.1,-36.4,0
52,1,0,0,371,1.1,-36.4,0
42,0,0,0,288,1.1,-36.4,0
42,0,0,0,221,1.1,-36.4,0
40,1,0,0,427,1.1,-36.4,0
38,1,0,0,310,1.1,-36.4,0
39,1,1,0,158,1.1,-36.4,0
39,1,0,0,198,1.1,-36.4,0
38,2,0,0,145,1.1,-36.4,0
47,0,1,0,247,1.1,-36.4,0
30,2,0,0,102,1.1,-36.4,0
38,2,1,1,179,1.1,-36.4,0
39,4,0,0,73,1.1,-36.4,0
44,2,0,0,263,1.1,-36.4,0
36,2,0,0,342,1.1,-36.4,0
41,2,1,1,41,1.1,-36.4,0
41,1,0,0,13,1.1,-36.4,0
35,1,0,0,79,1.1,-36.4,0
41,2,0,0,358,1.1,-36.4,0
36,2,0,0,162,1.1,-36.4,0
35,2,1,1,150,1.1,-36.4,0
33,1,0,0,26,1.1,-36.4,0
38,1,0,0,250,1.1,-36.4,0
33,4,0,0,792,1.1,-36.4,0
55,0,0,0,146,1.1,-36.4,0
36,1,0,0,440,1.1,-36.4,0
57,3,0,1,289,1.1,-36.4,0
32,4,1,0,242,1.1,-36.4,0
30,2,1,0,123,1.1,-36.4,0
43,3,1,1,161,1.1,-36.4,0
46,4,0,0,268,1.1,-36.4,0
35,2,0,1,259,1.1,-36.4,0
34,4,1,1,26,1.1,-36.4,0
50,1,0,0,153,1.1,-36.4,0
39,4,0,0,424,1.1,-36.4,0
39,1,0,0,375,1.1,-36.4,0
42,1,0,0,179,1.1,-36.4,0
57,4,1,0,383,1.1,-36.4,0
45,1,0,0,440,1.1,-36.4,0
40,1,0,1,195,1.1,-36.4,0
42,2,0,1,1297,1.1,-36.4,1
40,1,0,0,217,1.1,-36.4,0
38,1,0,0,87,1.1,-36.4,0
39,1,1,1,427,1.1,-36.4,0
41,1,0,0,189,1.1,-36.4,0
39,1,1,0,502,1.1,-36.4,0
41,1,1,1,260,1.1,-36.4,0
45,4,0,0,209,1.1,-36.4,0
35,4,0,0,179,1.1,-36.4,0
35,1,1,0,179,1.1,-36.4,0
49,2,0,0,69,1.1,-36.4,0
36,0,0,0,105,1.1,-36.4,0
23,4,0,0,266,1.1,-36.4,0
43,4,0,0,87,1.1,-36.4,0
49,3,0,0,524,1.1,-36.4,0
36,3,0,0,155,1.1,-36.4,0
51,1,1,0,162,1.1,-36.4,0
56,1,1,1,316,1.1,-36.4,0
45,2,0,0,352,1.1,-36.4,0
42,2,0,0,695,1.1,-36.4,0
41,2,0,0,76,1.1,-36.4,0
32,2,0,1,535,1.1,-36.4,0
46,4,0,0,310,1.1,-36.4,0
37,0,0,0,390,1.1,-36.4,0
53,4,0,0,369,1.1,-36.4,0
30,1,0,0,112,1.1,-36.4,0
45,0,0,0,79,1.1,-36.4,0
24,3,0,1,140,1.1,-36.4,0
45,0,0,0,315,1.1,-36.4,0
34,4,0,1,262,1.1,-36.4,0
41,4,0,0,174,1.1,-36.4,0
59,1,1,0,424,1.1,-36.4,0
45,1,0,0,135,1.1,-36.4,0
54,1,0,0,36,1.1,-36.4,0
32,3,0,0,1906,1.1,-36.4,0
33,3,1,0,219,1.1,-36.4,0
32,4,0,0,135,1.1,-36.4,0
34,2,0,0,147,1.1,-36.4,0
46,4,0,0,407,1.1,-36.4,0
57,3,1,0,402,1.1,-36.4,0
42,1,0,0,209,1.1,-36.4,0
48,3,1,0,92,1.1,-36.4,0
58,4,1,0,208,1.1,-36.4,0
34,2,0,0,193,1.1,-36.4,0
32,4,1,1,65,1.1,-36.4,0
48,1,0,0,284,1.1,-36.4,0
47,1,0,0,285,1.1,-36.4,0
31,2,0,0,231,1.1,-36.4,0
32,4,1,0,278,1.1,-36.4,0
32,4,0,0,389,1.1,-36.4,0
36,2,0,0,158,1.1,-36.4,0
53,1,0,1,78,1.1,-36.4,0
37,1,0,0,258,1.1,-36.4,0
50,2,0,0,87,1.1,-36.4,0
46,1,1,0,147,1.1,-36.4,0
41,2,0,0,635,1.1,-36.4,0
43,1,0,0,289,1.1,-36.4,0
51,4,1,0,170,1.1,-36.4,0
38,4,1,0,802,1.1,-36.4,0
41,1,1,0,381,1.1,-36.4,0
39,2,0,0,218,1.1,-36.4,0
52,1,0,0,57,1.1,-36.4,0
37,3,1,0,304,1.1,-36.4,0
41,1,1,0,241,1.1,-36.4,0
46,4,1,1,230,1.1,-36.4,0
47,3,0,0,79,1.1,-36.4,0
35,3,0,0,262,1.1,-36.4,0
38,2,0,0,392,1.1,-36.4,0
30,0,1,1,201,1.1,-36.4,0
46,1,1,0,145,1.1,-36.4,0
30,3,0,0,252,1.1,-36.4,0
35,1,0,0,329,1.1,-36.4,0
58,0,1,0,328,1.1,-36.4,0
40,3,0,0,191,1.1,-36.4,0
34,4,0,0,116,1.1,-36.4,0
30,4,0,0,246,1.1,-36.4,0
38,1,0,0,532,1.1,-36.4,0
55,1,0,0,293,1.1,-36.4,0
55,4,1,0,416,1.1,-36.4,0
45,3,1,0,37,1.1,-36.4,0
36,4,1,1,132,1.1,-36.4,0
32,4,0,0,530,1.1,-36.4,0
35,0,1,0,175,1.1,-36.4,0
55,4,1,0,90,1.1,-36.4,0
49,1,0,0,524,1.1,-36.4,0
29,2,1,0,29,1.1,-36.4,0
34,1,1,0,311,1.1,-36.4,0
54,2,1,0,412,1.1,-36.4,0
36,3,0,0,211,1.1,-36.4,0
30,4,1,0,312,1.1,-36.4,0
33,4,0,0,392,1.1,-36.4,0
37,2,0,0,191,1.1,-36.4,0
36,1,1,0,284,1.1,-36.4,0
33,2,0,0,328,1.1,-36.4,0
32,2,1,0,100,1.1,-36.4,0
32,2,0,0,226,1.1,-36.4,0
50,1,1,0,507,1.1,-36.4,0
39,1,0,1,333,1.1,-36.4,0
51,0,1,1,128,1.1,-36.4,0
33,2,0,0,322,1.1,-36.4,0
33,1,0,0,202,1.1,-36.4,0
56,4,0,1,92,1.1,-36.4,0
39,4,1,0,205,1.1,-36.4,0
33,4,0,0,739,1.1,-36.4,0
59,1,0,0,273,1.1,-36.4,0
42,0,1,0,339,1.1,-36.4,0
43,2,0,1,262,1.1,-36.4,0
